教科書名,学年,節,単元,単語,意味
New Crown,中1,0,1,subject,教科
New Crown,中1,0,1,like,〜を好む
New Crown,中1,0,1,color,色
New Crown,中1,0,1,food,食べ物
New Crown,中1,0,1,sport,スポーツ
New Crown,中1,0,1,animal,動物
New Crown,中1,0,1,TV program,テレビ番組
New Crown,中1,0,2,like,"～が好きです, ～を好む"
New Crown,中1,0,2,favorite,お気に入りの
New Crown,中1,0,2,writer,作家
New Crown,中1,0,2,singer,歌手
New Crown,中1,0,2,actor,俳優
New Crown,中1,0,2,athlete,運動選手
New Crown,中1,0,2,comedian,コメディアン
New Crown,中1,0,3,do,〜する
New Crown,中1,0,3,study,勉強する
New Crown,中1,0,3,Monday,月曜日
New Crown,中1,0,3,Sunday,日曜日
New Crown,中1,0,3,breakfast,朝食
New Crown,中1,0,3,usually,普段は
New Crown,中1,0,4,do,～する
New Crown,中1,0,4,have,"持っている, （レッスンを）受ける"
New Crown,中1,0,4,lessons,"レッスン, 授業"
New Crown,中1,0,4,breakfast,朝食
New Crown,中1,0,4,time,"時間, 時刻"
New Crown,中1,0,4,usually,"いつもは, ふだんは"
New Crown,中1,0,4,Where,どこに
New Crown,中1,0,4,go,行く
New Crown,中1,0,4,World,世界
New Crown,中1,0,5,Where,どこ
New Crown,中1,0,5,want,"～したい, 欲する"
New Crown,中1,0,5,go,行く
New Crown,中1,0,5,to,～へ
New Crown,中1,0,5,apple,りんご
New Crown,中1,0,5,April,4月
New Crown,中1,0,5,cat,ねこ
New Crown,中1,0,5,horse,うま
New Crown,中1,0,5,ink,インク
New Crown,中1,0,5,king,王様
New Crown,中1,0,5,octopus,たこ
New Crown,中1,0,5,open,開ける
New Crown,中1,0,5,park,公園
New Crown,中1,0,5,queen,女王
New Crown,中1,0,5,vet,獣医
New Crown,中1,0,5,weather,天気
New Crown,中1,0,5,box,箱
New Crown,中1,0,5,yacht,ヨット
New Crown,中1,0,5,dog,いぬ
New Crown,中1,0,5,egg,たまご
New Crown,中1,0,5,fish,さかな
New Crown,中1,0,5,glove,グローブ
New Crown,中1,0,5,gym,体育館
New Crown,中1,0,5,lunch,昼食
New Crown,中1,0,5,nurse,看護師
New Crown,中1,0,5,rabbit,うさぎ
New Crown,中1,0,5,tiger,とら
New Crown,中1,0,5,umbrella,かさ
New Crown,中1,0,5,unicycle,一輪車
New Crown,中1,0,5,game,ゲーム
New Crown,中1,0,5,desk,机
New Crown,中1,0,5,fox,きつね
New Crown,中1,0,5,zebra,しまうま
New Crown,中1,0,5,soda,ソーダ
New Crown,中1,0,5,uniform,制服
New Crown,中1,0,6,open,"開ける, 開いている"
New Crown,中1,0,6,park,公園
