species	種（しゅ）
mammal	哺乳類
primate	霊長類
reptile	爬虫類
vertebrate	脊椎動物
reproduction	繁殖／再生
mating	交尾／つがいになること
hibernation	冬眠
carnivore	肉食動物
herbivore	草食動物
ape	類人猿
rhinoceros	サイ
camel	ラクダ
donkey	ロバ
mule	ラバ
ram	雄ヒツジ
elk	ヘラジカ／アメリカアカシカなど
reindeer	トナカイ
canine	イヌ科の動物
bark	吠える／木の皮
hare	ノウサギ
lynx	オオヤマネコ
lizard	トカゲ
crocodile	ワニ
hump	こぶ（ラクダなどの）
burrow	巣穴／穴を掘る
owl	フクロウ
vulture	ハゲタカ
parrot	オウム
sparrow	スズメ
gull	カモメ
mosquito	蚊
termite	シロアリ
moth	蛾
caterpillar	イモムシ／毛虫
earthworm	ミミズ
salmon	サケ
tuna	マグロ
squid	イカ
eel	ウナギ
turtle	カメ
oyster	カキ（牡蠣）
blossom	（木の）花／開花
pollen	花粉
thorn	とげ
pine	マツ
maple	カエデ／モミジ
hemp	麻
holly	ヒイラギ
walnut	クルミ
cactus	サボテン
fungus	菌類／キノコ類
moss	コケ
mold	カビ
algae	藻類
organism	有機体／生物
organ	器官／オルガン
abnormality	異常／異常性
stroke	脳卒中／発作／一打ち
cancer	がん
leprosy	ハンセン病／らい病
measles	はしか
scurvy	壊血病
diabetes	糖尿病
appetite	食欲／欲求
obesity	肥満
malnutrition	栄養失調
indigestion	消化不良
metabolism	代謝
diarrhea	下痢
anorexia	拒食症／食欲不振
protein	タンパク質
inflammation	炎症
injury	けが／負傷
arthritis	関節炎
blister	水ぶくれ／まめ
impairment	障害／機能低下
fever	熱／発熱
pulse	脈拍
sneeze	くしゃみ
ward	病棟／区画（行政区）
surgery	手術／外科
endocrine	内分泌（の）
coma	昏睡状態
eyesight	視力
circadian rhythm	概日リズム／体内時計
diagnosis	診断
prescription	処方箋
pharmacy	薬局／薬学
vaccine	ワクチン
antibiotic	抗生物質
hypodermic	皮下注射（の）
painkiller	鎮痛剤
first aid	応急手当
pregnancy	妊娠
infertility	不妊
childbirth	出産
sperm	精子
gene	遺伝子
amputee	手足を切断された人
immunity	免疫
infection	感染
parasite	寄生虫／寄生生物
germ	病原菌／ばい菌
microbe	微生物
virus	ウイルス
bacterium	バクテリア／細菌
skull	頭蓋骨
spine	背骨／脊柱
rib	あばら骨
nostril	鼻の穴
jaw	あご
thigh	太もも
wrist	手首
ankle	足首
intestine	腸
kidney	腎臓
liver	肝臓
spleen	脾臓
vein	静脈
artery	動脈
cell	細胞
nerve	神経
neuron	ニューロン／神経細胞
fiber	繊維／（食物の）食物繊維
reflex	反射
insomnia	不眠症
anxiety	不安
depression	うつ病／憂うつ
