constituent	[名]選挙人、有権者
electorate	[名]選挙民、有権者
suffrage	[名]投票権、参政権
Senator	[名]上院議員
propaganda	[名]プロパガンダ
racism	[名]人種差別
territorial	[形]領土の、領地の
hegemony	[名]覇権、支配権
diplomat	[名]外交官
armistice	[名]休戦、停戦
pact	[名]条約、協定
coup	[名]クーデター
corps	[名]兵団、部隊
admiral	[名]海軍大将
colonel	[名]大佐
lieutenant	[名]中尉
outpost	[名]前哨(部隊)、前哨地
trench	[名]塹壕
militia	[名][集合的に]民兵組織、市民軍、義勇軍
veteran	[名]退役軍人
patriotism	[名]愛国心
arsenal	[名]兵器庫
projectile	[名]発射物、飛翔体
torpedo	[名]魚雷
ammunition	[名]弾薬
artillery	[名][集合的に]大砲
grenade	[名]手投げ弾
emplacement	[名]据えつけ
devalue	[動]を切り下げる
inflation	[名]インフレ、膨張
cartel	[名]カルテル、(国際的)企業連合
mercantilism	[名]重商主義
recession	[名]不景気、景気後退
monetary	[形]通貨の、貨幣の
jurisdiction	[名]司法権
perpetrator	[名]加害者
defendant	[名]被告
plaintiff	[名]原告
prosecutor	[名]検察官、検事
juror	[名]陪審員
jury	[名]陪審員団
attorney	[名]弁護士
barrister	[名]法廷弁護士
lawsuit	[名]訴訟
probation	[名]執行猶予、保護観察
commutation	[名]減刑
imprisonment	[名]投獄、収監
counterclaim	[名]反対要求、反訴
mistrial	[名]無効審理
remand	[動]を再勾留する
immunity	[名]刑事免責
insanity	[名]精神錯乱、心神喪失
default	[名]不履行、怠慢
perjury	[名]偽証罪
burglary	[名]押し込み強盗
larceny	[名]窃盗(罪)
arson	[名]放火(罪)
homicide	[名]殺人(行為)
manslaughter	[名]故殺(罪)
hostage	[名]人質、捕らわれの身
contraband	[名]密輸(品)
legacy	[名]遺産
beneficiary	[名]恩恵を受ける人、受益者
consortium	[名]合併企業、コンソーシアム
syndicate	[名]企業組合、シンジケート
capitalist	[名][形]資本家、資本主義の
stakeholder	[名]出資者
entrepreneur	[名]起業家
pension	[名]年金
resignation	[名]辞任、辞職
ledger	[名]元帳
overdraft	[名]貸し越し
retailer	[名]小売業者
output	[名]生産高、産出量
clientele	[名][集合的に]顧客、得意客
bankruptcy	[名]倒産
questionnaire	[名]アンケート
respondent	[名]回答者
prototype	[名]原型、プロトタイプ
agenda	[名]会議事項(のリスト)
patent	[名]特許
disclaimer	[名]免責条項
prehistoric	[形]有史以前の、先史時代の
archaeological	[形]考古学の、考古学的な
remains	[名]遺跡、遺構
excavation	[名]発掘
catacomb	[名]地下埋葬場
coffin	[名]ひつぎ
flint	[名]火打ち石
artifact	[名]加工品、人工遺物
lance	[名]やり
hearth	[名]炉床
shipwreck	[名]難破船
mummy	[名]ミイラ
glyph	[名]象形文字
inscription	[名]碑文、銘
epitaph	[名]墓碑銘、碑文
archive	[名]公文書、古文書
chronicle	[名]年代記、記録
millennium	[名]千年(紀)
medieval	[形]中世の
dynasty	[名]王朝
aristocracy	[名][集合的に]貴族
genealogy	[名]系図学、系譜学
crusade	[名]十字軍
rampart	[名]城壁
dungeon	[名]地下牢
imperialism	[名]帝国主義
coronation	[名]戴冠式
autocrat	[名]独裁者、専制君主
dictator	[名]独裁者
massacre	[名]大虐殺
exorcism	[名]悪魔払い(の儀式)
peasantry	[名][集合的に]小作農
mores	[名]社会的慣習、しきたり
folklore	[名]民間伝承
mythology	[名][集合的に]神話
spouse	[名]配偶者
suitor	[名]求婚者
dowry	[名]持参金
ghetto	[名]ゲットー
caste	[名]カースト
prelate	[名]高位聖職者
archbishop	[名]大司教
bishop	[名]司教
monk	[名]修道士
monastery	[名]修道院、僧院
missionary	[名]伝道者、布教者
pilgrim	[名]巡礼者、聖地参拝者
worship	[名]礼拝、祈り
ethic	[名]倫理、道徳
requiem	[名]死者のためのミサ、鎮魂歌
dirge	[名]葬送歌、挽歌
redemption	[名]贖罪、救い
penance	[名]懺悔、罪滅ぼし
pagan	[名]異教徒
atheism	[名]無神論
agnostic	[形]不可知論(者)の
deterministic	[形]決定論の、決定論的な
curator	[名]学芸員、キュレーター
sponsorship	[名]後援、資金援助
pigment	[名]色素、顔料
varnish	[名][動]ニス、〜にニスを塗る
symmetry	[名]対称、シンメトリー
replica	[名]レプリカ、複製品
balm	[名]香油
porcelain	[名]磁器
auditorium	[名]観客席
cathartic	[形]カタルシスを起こす
recite	[動]朗読する
playwright	[名]脚本家、劇作家
phonograph	[名]蓄音器
lexical	[形]語彙の、辞書の
syntax	[名]統語論
conjugate	[動]を活用させる
conjunction	[名]接続詞
determiner	[名]限定詞
semantic	[形]意味論の
pronunciation	[名]発音
vernacular	[名]日常語、話し言葉
synonym	[名]同義語、類(義)語
faculty	[名]学部
doctoral	[形]博士(号)の
academia	[名]学界、学究生活
methodology	[名]方法論
expertise	[名]専門知識
taxonomy	[名]分類学
paradigm	[名]枠組み
empirical	[形]実験[経験]に基づく
thesis	[名]論文
terminology	[名]専門用語(の総体)
rhetoric	[名]修辞法
preface	[名]序文、前書き
bibliography	[名]参考文献一覧、文献目録
typo	[名]誤植、入力ミス
dormitory	[名]寮、寄宿舎
