fall back on ～	～に頼る／～を当てにする
hold off	延期する／引き延ばす／（敵などを）食い止める
rule out	～を除外する／可能性を否定する
fall for ～	～にだまされる／～に夢中になる
miss out	逃す／（機会などに）乗り遅れる
come down with ～	～（病気）にかかる
shake up	動揺させる／大改革を起こす
hold out	持ちこたえる／（希望などを）抱き続ける
let up	弱まる／おさまる
call for ～	～を要求する／～を必要とする
come into ～	～を相続する／（状態に）入る
dispose of ～	～を処分する／始末する
chip in	お金を出し合う／協力する
stick with ～	～を続ける／～から離れない
go for ～	～を選ぶ／～を狙う／～が好きだ
make off with ～	～を盗んで逃げる
cover for ～	～の代わりをする／～をかばう
bring on	引き起こす（病気・結果など）
stick around	その場にとどまる／うろうろする
fall on ～	～に襲いかかる／（視線・責任などが）～に向く
catch on	流行る／理解する
set off	出発する／引き起こす／作動させる
win over	味方に引き入れる／説得してこちら側にする
fall through	失敗に終わる／だめになる
track down	突き止める／探し出す
sell out	売り切れる／（人・主義などを）裏切る
drag on	だらだら長引く
die down	おさまる／静まる
break down	故障する／（交渉などが）決裂する／打ちひしがれる
make up	仲直りする／～をでっち上げる／メイクする／構成する
call off	中止する／取りやめる
live up to ～	～（期待・基準）に応える
bring up	育てる／（話題を）持ち出す
sum up	要約する／まとめる
split up	別れる／分裂する
stick up for ～	～を（堂々と）擁護する／かばう
step down	辞任する／身を引く
give out	配る／発する／（力などが）尽きる
burn out	燃え尽きる／疲れ果てる／使い物にならなくなる
rough up	乱暴に扱う／殴る・痛めつける
draw on ～	～を活用する／～に頼る・基づく
back off	一歩引く／手を引く／後ずさりする
hold back	抑える／隠す／ためらう
knock down	打ち倒す／値下げする
round up	かき集める／一斉検挙する
see through ～	～を見抜く／～を最後までやり通す
map out	綿密に計画する
bring out	発売する／引き出す／明らかにする
feel for ～	～に同情する／～を手探りで探す
pile in	どっと押し寄せる／どかどか入り込む
wrap up	終える／包む／（仕事などを）締めくくる
pass off	～のふりをする／（出来事が）済む・終わる
take in	理解する／騙す／受け入れる／取り込む
leave off	やめる／中断する
jump at ～	～に飛びつく／～を喜んで受ける
kick off	開始する／（試合などが）始まる
grow out of ～	～から卒業する／～が原因で生じる
dish out	どんどん与える／配る／（批判などを）浴びせる
cut back on ～	～を削減する／節約する
make up for ～	～を埋め合わせる／償う
go over ～	～をよく調べる／見直す／復習する
give away	ただであげる／（秘密などを）ばらす
keep up	続ける／遅れずについていく
come along	一緒に来る／うまく進む
add up to ～	総計～になる／結局～ということになる
point to ～	～を指し示す／～を示唆する
settle down	落ち着く／定住する／身を固める
dry up	干上がる／枯れる／（話すことがなくなって）黙る
straighten out	整理する／解決する／まっすぐにする
set aside	取っておく／～を無視する／脇に置く
turn in	提出する／（～を）引き渡す／寝る（アメリカ口語）
hang onto ～	～を手放さない／しっかり持っている
tear down	取り壊す／破壊する
shape up	きちんとする／（状況が）まともになる
set out to do	～しようと着手する／～するつもりで始める
cover up	隠す／もみ消す
turn away	追い返す／そらす・背ける
put in	差し込む／（時間・労力などを）費やす／申し込む
get into ～	～に夢中になる／～に入る／～（仕事・学校）に入る
act on ～	～に基づいて行動する／～に作用する
kick back	くつろぐ／リラックスする／（賄賂などを）キックバックとして渡す
stem from ～	～から生じる／～に由来する
stir up	かき立てる／（感情・問題）を引き起こす
push for ～	～を強く求める・推進する
carry away	（be carried away）夢中になる／我を忘れさせる
throw up	吐く／（問題などを）引き起こす
set down	書き留める／降ろす／定める
endear A to B	AをBにとって好ましい存在にする
pull over	（車が）路肩に寄せて止まる／車を寄せさせる
live on ～	～で生活する／～を常食とする／～に頼って生きる
drag out	長引かせる／だらだら続ける
come down to ～	結局～ということになる／要は～だ
blow up	爆発する／かんかんに怒る／（写真などを）拡大する
pass up	見送る／（機会などを）逃す・見逃す
see about doing	～することを手配する／～のことを考えておく
branch out	（事業・活動の）範囲を広げる／分野を広げる
wind up	最後に～という結果になる／終える／（ねじを）巻く
relate to ～	～に関係する／～に共感する
tighten up	引き締める／厳しくする
spring up	急に現れる／にわかに生じる
contend with ～	～と戦う／～に対処する
tune in	（ラジオ・番組などに）チャンネルを合わせる／注意を向ける
measure up to ～	～に見合う／～に匹敵する
check up on ～	～を調べる／様子を確認する
turn around	向きを変える／好転する／立て直す
want for ～	～が不足している／～を欠いている
go astray	道に迷う／それる／悪い方向に行く
cross out	線を引いて消す
mess with ～	～に手出しする／～をいじる／～にちょっかいを出す
speak for ～	～を代表して話す／～の代弁をする
head off to ～	～へ向かう／～に出発する
buy out	買い取る／（権利などを）全部買う
spell out	一つひとつ詳しく説明する／はっきり述べる
break away from ～	～から離れる／～から脱却する
pull in	（車・電車が）到着する／（人・金などを）引き寄せる・稼ぐ
talk A into doing	Aを説得して～させる
count for ～	～の価値がある／～の割合を占める
wrestle with ～	～に苦闘する／～と格闘する（問題・感情など）
kick around	ぶらぶらする／（案などを）あれこれ検討する
happen on ～	～に偶然出くわす・見つける
give over	譲り渡す／任せる／やめる
